event,entry_at,exit_at,entry_difference_sym_pp,exit_difference_sym_pp,abs_difference_convergence_pp,difference_converged,trade_direction,entry_perp_sym_pct,exit_perp_sym_pct,perp_spread_gross_move_pp,equal_quantity_price_return_pct,max_favorable_price_return_pct,max_adverse_price_return_pct,funding_return_pp_approx,price_plus_funding_pct_approx,after_funding_and_10bp_fees_pct_approx
late_2105_to_next_open,2026-09-08T21:05:00+08:00,2026-09-09T09:48:00+08:00,-1.37648551,0.02304579,1.35343972,True,long_hyper_short_binance,-8.58645158,-8.58469828,0.00175330,-0.25184202,0.70107373,-0.73510644,-0.17638139,-0.42822341,-0.52822341
a_lunch_to_pm_reopen,2026-09-09T11:59:00+08:00,2026-09-09T13:05:00+08:00,0.29363974,0.08152954,0.21211020,True,short_hyper_long_binance,-7.54017722,-7.41465224,-0.12552497,-0.13308177,0.38745325,-0.13308177,0.01420580,-0.11887597,-0.21887597
a_close_to_hk_close,2026-09-09T15:01:00+08:00,2026-09-09T16:09:00+08:00,-0.15050174,-0.45756497,-0.30706323,False,long_hyper_short_binance,-7.21047876,-7.78257351,-0.57209475,-0.58609420,0.09458581,-0.58609420,-0.01194314,-0.59803733,-0.69803733
hk_close_to_next_open,2026-09-09T16:09:00+08:00,2026-09-10T09:48:00+08:00,-0.45756497,-0.14919917,0.30836580,True,long_hyper_short_binance,-7.78257351,-8.47372811,-0.69115460,-0.78230375,1.13299164,-1.22909361,0.06892405,-0.71337970,-0.81337970
evening_1822_to_next_open,2026-09-09T18:22:00+08:00,2026-09-10T09:48:00+08:00,-0.18854242,-0.14919917,0.03934325,True,long_hyper_short_binance,-7.35409489,-8.47372811,-1.11963321,-1.30982024,0.28652318,-1.76177644,0.05159252,-1.25822773,-1.35822773
late_2105_to_next_open,2026-09-09T21:05:00+08:00,2026-09-10T09:48:00+08:00,-0.83311468,-0.14919917,0.68391552,True,long_hyper_short_binance,-7.97672609,-8.47372811,-0.49700201,-0.61567606,0.59368763,-1.06390176,0.02283336,-0.59284270,-0.69284270
a_lunch_to_pm_reopen,2026-09-10T11:59:00+08:00,2026-09-10T13:05:00+08:00,0.24509763,0.26294333,-0.01784570,False,short_hyper_long_binance,-7.72983366,-7.70964378,-0.02018988,-0.03190677,0.41814655,-0.21998875,0.03104864,-0.00085812,-0.10085812
a_close_to_hk_close,2026-09-10T15:01:00+08:00,2026-09-10T16:09:00+08:00,-0.08280556,-0.70776062,-0.62495506,False,long_hyper_short_binance,-7.08086233,-7.50976371,-0.42890139,-0.40723867,-0.00000000,-0.75678519,-0.00060287,-0.40784154,-0.50784154
hk_close_to_next_open,2026-09-10T16:09:00+08:00,2026-09-11T09:48:00+08:00,-0.70776062,-1.00777366,-0.30001304,False,long_hyper_short_binance,-7.50976371,-5.54970020,1.96006352,2.17822288,2.69214734,-0.76748322,-0.21168094,1.96654193,1.86654193
evening_1822_to_next_open,2026-09-10T18:22:00+08:00,2026-09-11T09:48:00+08:00,-1.34545063,-1.00777366,0.33767697,True,long_hyper_short_binance,-7.98902794,-5.54970020,2.43932775,2.61786388,3.13560775,-0.34973427,-0.23308191,2.38478197,2.28478197
late_2105_to_next_open,2026-09-10T21:05:00+08:00,2026-09-11T09:48:00+08:00,-0.95317208,-1.00777366,-0.05460158,False,long_hyper_short_binance,-7.67023219,-5.54970020,2.12053200,2.22106270,2.74632577,-0.69049483,-0.25582577,1.96523693,1.86523693
a_lunch_to_pm_reopen,2026-09-11T11:59:00+08:00,2026-09-11T13:05:00+08:00,-0.36468802,-0.44935775,-0.08466972,False,long_hyper_short_binance,-5.41062456,-5.72568721,-0.31506264,-0.33615248,0.03576090,-0.65800061,0.07046015,-0.26569233,-0.36569233
a_close_to_hk_close,2026-09-11T15:01:00+08:00,2026-09-11T16:09:00+08:00,0.17122336,-0.60147861,-0.43025525,False,short_hyper_long_binance,-4.27498963,-4.70636310,0.43137346,0.39874026,0.79042318,-0.25759327,-0.03235129,0.36638897,0.26638897
