type,coin,ex1,ex2,open_diff_pct,close_diff_pct,spread_width_pct,trade24_1,trade24_2,rate1,rate2,net_rate2_minus_rate1,rate_interval1_h,rate_interval2_h,rate_max1,rate_max2,index_diff1_pct,index_diff2_pct
FF,AIUSDT,gate-F,okx-F,29.086872051068553,29.444444444444446,0.3575723933758934,3958449.0,312990834.0,0.005,0.152,0.147,4,4,2.0,1.5,0.42331488114620053,0.04850836769342513
FF,SIRENUSDT,binance-F,htx-F,0.6578584685495926,0.8044224870980274,0.1465640185484349,287070803.0,4072432.0,-0.071,0.059,0.13,4,4,2.0,2.0,-0.6047464746049735,
FF,SIRENUSDT,bybit-F,htx-F,0.5601932207436789,0.6901615271659503,0.12996830642227133,61552591.0,4072432.0,-0.036,0.059,0.095,4,4,5.0,2.0,-0.21843680017622238,
FF,SIRENUSDT,bitget-F,htx-F,0.5509844255069061,0.7620201797633327,0.21103575425642654,53647558.0,4072432.0,-0.038,0.059,0.097,4,4,2.0,2.0,-0.3837216583562631,
FF,SIRENUSDT,aster-F,htx-F,0.5104757707633274,0.7859845006794838,0.27550872991615644,8007472.0,4072432.0,-0.018,0.059,0.077,1,4,2.0,2.0,-0.3550041074658122,
FF,RAVEUSDT,gate-F,bitget-F,0.4687690247169247,0.5266121790481437,0.05784315433121894,1680093.0,3348291.0,0.017,0.005,-0.012,4,4,2.0,2.0,0.07332498243256179,0.19191145246761357
FF,RAVEUSDT,bybit-F,bitget-F,0.4641924953010187,0.4930456219374898,0.02885312663647114,4899520.0,3348291.0,0.005,0.005,0.0,4,4,2.0,2.0,-0.003050314945021124,0.19191145246761357
FF,AIGENSYNUSDT,binance-F,bybit-F,0.43806278899975565,0.5110110719065625,0.07294828290680686,497633480.0,114342679.0,-0.039,0.005,0.044,4,4,2.0,2.5,-0.47143738062809093,0.0
FF,LABUSDT,htx-F,bitget-F,0.4203181917191565,0.43097844849479044,0.010660256775633925,8485283.0,97874741.0,0.005,0.009,0.003999999999999999,4,4,2.0,1.875,,0.18520450567693403
FF,RAVEUSDT,okx-F,bitget-F,0.40776580853265404,0.4503407984420585,0.04257498990940445,18476178.0,3348291.0,0.024,0.005,-0.019,4,4,1.5,2.0,0.03660433761401,0.19191145246761357
FF,RAVEUSDT,binance-F,bitget-F,0.3925208051240741,0.43509348424687355,0.04257267912279941,21912324.0,3348291.0,0.018,0.005,-0.012999999999999998,4,4,2.0,2.0,0.11162513554034625,0.19191145246761357
FF,LABUSDT,binance-F,bitget-F,0.37029035342845906,0.3826744693468717,0.012384115918412679,505806203.0,97874741.0,-0.016,0.009,0.025,4,4,2.0,1.875,-0.13889920285272148,0.18520450567693403
FF,SIRENUSDT,binance-F,gate-F,0.3570311205992331,0.4122041882889882,0.055173067689755086,287070803.0,46076687.0,-0.071,-0.069,0.001999999999999988,4,4,2.0,2.0,-0.6047464746049735,-0.4018238449622052
FF,SAPIENUSDT,bitget-F,bybit-F,0.3537996609419976,0.43502304147465964,0.08122338053266204,1951043.0,4986155.0,-0.019,0.005,0.024,4,4,2.0,2.5,-0.2780981754306794,0.07364854912357414
FF,SKYAIUSDT,gate-F,htx-F,0.3455142491658952,0.43763676148796365,0.09212251232206849,30991924.0,4978831.0,0.001,0.051,0.049999999999999996,4,4,2.0,2.0,-0.0021152381758207123,
FF,AIGENSYNUSDT,binance-F,gate-F,0.316571289419209,0.3895787679571474,0.07300747853793846,497633480.0,25023010.0,-0.039,0.005,0.044,4,4,2.0,2.0,-0.47143738062809093,-0.14334653417236448
FF,AIGENSYNUSDT,htx-F,bybit-F,0.31618630670071307,0.5110110719065625,0.1948247652058494,1608690.0,114342679.0,0.005,0.005,0.0,4,4,2.0,2.5,,0.0
FF,LABUSDT,aster-F,bitget-F,0.31597806052114846,0.32508516491317185,0.009107104392023406,46634098.0,97874741.0,0.001,0.009,0.008,1,4,2.0,1.875,-0.026040903004083443,0.18520450567693403
FF,WLFIUSDT,okx-F,aster-F,0.3152314085112451,0.4725424214219386,0.15731101291069347,25784361.0,2120601.0,0.005,0.027,0.022,4,4,1.5,2.0,-0.05738880918220714,0.009410265668840593
FF,LABUSDT,htx-F,okx-F,0.29979324603722096,0.3049594679577124,0.0051662219204914265,8485283.0,576671418.0,0.005,0.005,0.0,4,4,2.0,1.5,,-0.04780673696665306
FF,WLFIUSDT,gate-F,aster-F,0.2865329512894065,0.4438399312764045,0.157306979986998,3719825.0,2120601.0,0.005,0.027,0.022,4,4,2.0,2.0,-0.05733944954128206,0.009410265668840593
FF,PROSUSDT,okx-F,bitget-F,0.2825048765722729,0.3631716995090505,0.08066682293677756,33669852.0,4453359.0,-0.128,-0.003,0.125,4,4,1.5,2.0,-0.12113055181695988,0.14794889038332074
FF,SKYAIUSDT,binance-F,htx-F,0.2715635999314581,0.36632450025695484,0.09476090032549674,120364227.0,4978831.0,0.005,0.051,0.046,4,4,2.0,2.0,0.03734055499615115,
FF,MLNUSDT,bitget-F,bybit-F,0.27022969524095175,0.330280738627824,0.06005104338687225,14377727.0,36935063.0,-0.326,-0.538,-0.21200000000000002,4,4,1.5,2.5,-0.7351363975080212,-0.20901761719916745
FF,SAPIENUSDT,bitget-F,okx-F,0.2654671484403799,0.3466971563456631,0.08123000790528322,1951043.0,6003817.0,-0.019,0.005,0.024,4,4,2.0,1.5,-0.2780981754306794,0.007365939893937833
FF,SAPIENUSDT,binance-F,bybit-F,0.2652324467693208,0.28734573586295925,0.02211328909363843,31966884.0,4986155.0,0.001,0.005,0.004,4,4,2.0,2.5,-0.20094561777094397,0.07364854912357414
FF,SIRENUSDT,gate-F,htx-F,0.2640941935957152,0.4289563894337425,0.1648621958380273,46076687.0,4072432.0,-0.069,0.059,0.128,4,4,2.0,2.0,-0.4018238449622052,
FF,UPUSDT,gate-F,okx-F,0.2626148940161448,0.4128354287858847,0.1502205347697399,3179319.0,44847012.0,0.005,0.041,0.036000000000000004,4,4,2.0,1.5,0.21515117200770578,0.6415094339622563
FF,DRAMUSDT,okx-F,bitget-F,0.26178010471204294,0.5044371788883625,0.24265707417631954,2985604.0,2140357.0,0.01,0.1,0.09000000000000001,8,8,1.5,0.1,0.28174305033808894,-0.010340623836545876
FF,SIRENUSDT,bybit-F,gate-F,0.2593651990765904,0.29794199326873005,0.038576794192139635,61552591.0,46076687.0,-0.036,-0.069,-0.03300000000000001,4,4,5.0,2.0,-0.21843680017622238,-0.4018238449622052
FF,COLLECTUSDT,binance-F,gate-F,0.2561229390107147,0.38406144983196855,0.12793851082125385,26142668.0,1420757.0,0.005,0.005,0.0,4,4,2.0,2.0,0.08596448801704909,0.4269388803287146
FF,NEARUSDT,binance-F,htx-F,0.2542911633820727,0.38143674507310904,0.12714558169103635,118845588.0,1043424.0,-0.008,0.01,0.018000000000000002,8,8,2.0,2.0,-0.12165386003964468,
FF,SIRENUSDT,bitget-F,gate-F,0.2501563477173284,0.3698013927346109,0.11964504501728243,53647558.0,46076687.0,-0.038,-0.069,-0.031000000000000007,4,4,2.0,2.0,-0.3837216583562631,-0.4018238449622052
FF,LABUSDT,binance-F,okx-F,0.24976530673764902,0.25665538416487804,0.006890077427229016,505806203.0,576671418.0,-0.016,0.005,0.021,4,4,2.0,1.5,-0.13889920285272148,-0.04780673696665306
FF,BILLUSDT,binance-F,htx-F,0.24582653585715017,0.3484787561989023,0.10265222034175209,352880838.0,3294479.0,0.026,0.005,-0.020999999999999998,4,4,2.0,2.0,0.09029099188273332,
FF,WLFIUSDT,bybit-F,aster-F,0.24350068036955308,0.40080160320641633,0.15730092283686328,15184642.0,2120601.0,0.005,0.027,0.022,4,4,0.53,2.0,-0.0716537689882409,0.009410265668840593
FF,AIGENSYNUSDT,bitget-F,bybit-F,0.2431315341599875,0.3647416413373796,0.12161010717739208,54585814.0,114342679.0,0.005,0.005,0.0,4,4,2.0,2.5,-0.6888247466495968,0.0
FF,NEARUSDT,bybit-F,htx-F,0.24156124849024382,0.31139779479521634,0.06983654630497252,59197891.0,1043424.0,-0.013,0.01,0.023,8,8,1.0,2.0,-0.08900756564308397,
