type,coin,ex1,ex2,open_diff_pct,close_diff_pct,spread_width_pct,trade24_1,trade24_2,rate1,rate2,net_rate2_minus_rate1,rate_interval1_h,rate_interval2_h,rate_max1,rate_max2,index_diff1_pct,index_diff2_pct
SF,UPUSDT,htx-S,okx-F,46.43994007511386,50.41853659909119,3.978596523977329,4277602.0,44847012.0,,0.041,,,4,,1.5,,0.6415094339622563
SF,UPUSDT,htx-S,gate-F,46.08464886200888,50.13742523832121,4.052776376312322,4277602.0,3179319.0,,0.005,,,4,,2.0,,0.21515117200770578
SF,AIUSDT,binance-S,okx-F,28.737702646529034,29.126213592233018,0.3885109457039848,23378813.96878,312990834.0,,0.152,,,4,,1.5,,0.04850836769342513
SF,AIUSDT,htx-S,okx-F,28.737702646529034,29.76356050069542,1.0258578541663843,5801763.0,312990834.0,,0.152,,,4,,1.5,,0.04850836769342513
SF,UPUSDT,gate-S,okx-F,0.6012777151446996,0.7518796992481209,0.15060198410342127,3522000.0,44847012.0,,0.041,,,4,,1.5,,0.6415094339622563
SF,COLLECTUSDT,bitget-S,gate-F,0.41974398820870473,0.5621891742546142,0.14244518604590947,1012737.0,1420757.0,,0.005,,,4,,2.0,,0.4269388803287146
SF,SKYAIUSDT,gate-S,htx-F,0.37722410541172624,0.5248651571298559,0.14764105171812966,9181404.0,4978831.0,,0.051,,,4,,2.0,,
SF,TRIAUSDT,bybit-S,binance-F,0.3763328454944587,0.5437055625261321,0.16737271703167333,1446480.0,15121425.0,,0.005,,,4,,2.0,,0.3010914958853761
SF,QUSDT,gate-S,bitget-F,0.3615655789568843,0.5332369289168063,0.171671349959922,3361010.0,36884137.0,,0.032,,,4,,2.0,,0.2891637810507902
SF,BILLUSDT,bybit-S,htx-F,0.3532857813652864,0.4514672686230297,0.09818148725774337,1711787775.0,3294479.0,,0.005,,,4,,2.0,,
SF,BILLUSDT,htx-S,htx-F,0.3290973967322715,0.5958291956305859,0.26673179889831433,21705869.0,3294479.0,,0.005,,,4,,2.0,,
SF,ALCHUSDT,htx-S,binance-F,0.32590983161324455,0.5315293549166584,0.20561952330341388,4400048.0,1197246.0,,0.005,,,4,,2.0,,0.08225178310718839
SF,SKYAIUSDT,htx-S,htx-F,0.3180404908266786,0.5425844375599198,0.22454394673324124,6326746.0,4978831.0,,0.051,,,4,,2.0,,
SF,QUSDT,gate-S,bybit-F,0.2893570847273627,0.3798842257597718,0.09052714103240907,3361010.0,45804483.0,,0.015,,,4,,2.5,,0.10862186014935378
SF,BILLUSDT,bybit-S,okx-F,0.28183505938666953,0.2997159408620206,0.017880881475351065,1711787775.0,346809025.0,,0.088,,,4,,1.5,,0.3628056973931762
SF,XNYUSDT,gate-S,binance-F,0.28129395218003067,0.4522840343735856,0.17099008219355494,1195329.0,8234480.0,,0.012,,,4,,2.0,,0.21077050338670472
SF,TRIAUSDT,bybit-S,okx-F,0.27193808179061835,0.41849759363883404,0.1465595118482157,1446480.0,9556235.0,,0.005,,,4,,1.5,,0.041797283176606324
SF,SKYAIUSDT,gate-S,bitget-F,0.2692145270270326,0.3590000791912013,0.08978555216416872,9181404.0,23732114.0,,0.013,,,4,,2.0,,0.17566224224360683
SF,BILLUSDT,htx-S,okx-F,0.2576466483570523,0.44407835834258175,0.18643170998552944,21705869.0,346809025.0,,0.088,,,4,,1.5,,0.3628056973931762
SF,FHEUSDT,htx-S,bybit-F,0.2539452203881757,1.0189228529839849,0.7649776325958093,1824559.0,2241170.0,,0.068,,,4,,2.5,,0.0726744186046482
SF,BUSDT,bitget-S,binance-F,0.2538546370086766,0.3600153995026396,0.10616076249396304,4103027.0,228861958.0,,0.01,,,4,,2.0,,0.19484400571622112
SF,4USDT,htx-S,binance-F,0.23480538246184396,0.9148136406865668,0.6800082582247228,2527600.0,2847156.0,,0.005,,,4,,2.0,,0.06922022423376203
